District,School,LowIncPct,ReadHigh,ReadMed
PALISADES,DURHAM-NOCKAMIXON EL SC,15,47,26
ABINGTON,HIGHLAND SCH,9,43,30
ABINGTON,RYDAL SCH,2,49,24
UPPER DUBLIN,JARRETTOWN EL SCH,4,44,29
WEST CHESTER AREA,MARY C HOWSE EL SCH,5,49,24
WEST CHESTER AREA,SARAH W STARKWEATHER EL,9,43,30
TRI-VALLEY,MAHANTONGO EL SCH,23,53,20
BUTLER AREA,MCQUISTION EL SCH,19,38,34
PETERS TOWNSHIP,MCMURRAY EL SCH,2,38,34
MONTOUR,INGRAM EL SCH,18,34,38
MOON AREA,HYDE EL SCH,17,54,18
NORTH HILLS,SEVILLE EL SCH,24,24,48
PINE-RICHLAND,WEXFORD EL SCH,5,39,33
PENN TRAFFORD,MCCULLOUGH EL SCH,12,44,28
TYRONE AREA,WARRIORS MARK GR SCH,20,36,36
WAYNESBORO AREA,SUMMITVIEW EL SCH,21,48,24
EASTERN LANCASTER CO.,BRECKNOCK EL SCH,8,43,29
EPHRATA AREA,AKRON EL SCH,12,32,40
MECHANICSBURG AREA,BROAD STREET EL SCH,14,31,41
WILLIAMSPORT AREA,HEPBURN-LYCOMING EL SCH,28,37,35
DALLAS,WESTMORELAND EL SCH,21,41,31
HAZLETON AREA,HAZLE EL SCH,24,32,40
LAKELAND,LAKELAND EL SCH,25,43,29
PARKLAND,SCHNECKSVILLE SCH,4,43,29
CENTRAL BUCKS,LINDEN EL SCH,4,38,34
COUNCIL ROCK,RICHBORO EL SCH,4,50,22
COUNCIL ROCK,SOL FEINSTONE EL SCH,0,46,26
HAVERFORD TWP.,LYNNEWOOD EL SCH,2,50,22
HAVERFORD TWP.,MANOA EL SCH,3,41,31
MARPLE NEWTOWN,CULBERTSON EL SCH,4,33,39
BLUE MOUNTAIN,BLUE MT CRESSONA EL SCH,22,36,36
CENTRAL CAMBRIA,CAMBRIA EL SCH,35,41,30
WEST JEFFERSON HILLS,MCCLELLAN EL SCH,4,29,42
BUTLER AREA,CENTER TWP SCH,18,44,27
PINE-RICHLAND,HANCE EL SCH,4,47,24
CRAWFORD CENTRAL,WEST END EL SCH,23,28,43
HOLLIDAYSBURG AREA,CHARLES W LONGER EL SCH,26,48,23
MIFFLIN COUNTY,BROWN TWP EL SCH,27,42,29
CHAMBERSBURG AREA,LURGAN EL SCH,22,46,25
DALLASTOWN AREA,YORK TWP EL SCH,10,35,36
HEMPFIELD,LANDISVILLE EL SCH,7,36,35
HEMPFIELD,ROHRERSTOWN EL SCH,16,40,31
MANHEIM TOWNSHIP,NITRAUER SCH,6,32,39
BOYERTOWN AREA,GILBERTSVILLE EL SCH,8,39,32
CUMBERLAND VALLEY,GREEN RIDGE EL SCH,3,40,31
LOWER DAUPHIN,NYE EL SCH,17,27,44
PARKLAND,CETRONIA SCH,3,44,27
CENTRAL BUCKS,KUTZ EL SCH,4,37,34
COUNCIL ROCK,HOLLAND EL SCH,3,44,27
NESHAMINY,LOWER SOUTHAMPTON EL,5,43,28
PENNRIDGE,SEYLAR EL SCH,4,34,37
LOWER MERION,PENN VALLEY SCH,7,47,24
NORTH PENN,GWYNEDD SQUARE EL SCH,1,39,32
SPRINGFIELD TWP.,ERDENHEIM EL SCH,3,47,24
DOWNINGTOWN AREA,BRADFORD HGTS EL SCH,3,42,29
DOWNINGTOWN AREA,BRANDYWINE-WALLACE EL,2,43,28
TREDYFFRIN EASTTOWN,TREDYFFRIN-EASTTOWN MS,6,48,23
WALLINGFRD SWARTHMRE,WALLINGFORD EL SCH,5,43,28
FREEPORT AREA,SOUTH BUFFALO TWP EL,18,32,39
CONEMAUGH TWP.,CONEMAUGH TWP AREA INTR,36,37,33
ARMSTRONG,NORTH BUFFALO EL SCH,38,35,35
HARBOR CREEK,ROLLING RIDGE EL SCH,21,34,36
MILLCREEK TWP.,ASBURY EL SCH,14,44,26
BEDFORD AREA,SNAKE SPRING EL SCH,21,45,25
HUNTINGDON AREA,ALFARATA EL SCH,26,41,29
CENTRAL DAUPHIN,LINGLESTOWN EL SCH,5,32,38
CENTRAL DAUPHIN,NORTH SIDE EL SCH,9,44,26
CUMBERLAND VALLEY,HAMPDEN EL SCH,3,38,32
SUSQUEHANNA TOWNSHIP,HERBERT HOOVER EL SCH,15,41,29
CRESTWOOD,RICE EL SCH,24,34,36
BETHLEHEM AREA,MILLER HEIGHTS EL SCH,8,32,38
EASTON AREA,MARCH EL SCH,23,48,22
COUNCIL ROCK,HILLCREST EL SCH,2,38,32
PENNSBURY,MAKEFIELD EL SCH,0,41,29
HATBORO-HORSHAM,SIMMONS EL SCH,6,40,30
METHACTON,WOODLAND EL SCH,7,35,35
SPRING-FORD AREA,BROOKE EL SCH,5,40,30
UPPER MERION AREA,UPPER MERION MS,16,39,31
OWEN J. ROBERTS,NORTH COVENTRY EL SCH,16,46,24
ROSE TREE MEDIA,MEDIA EL SCH,16,47,23
INDIANA AREA,BEN FRANKLIN EL SCH,27,32,38
INDIANA AREA,HORACE MANN EL SCH,23,44,26
TAMAQUA AREA,RUSH EL SCH,10,53,17
LAKEVIEW,LAKEVIEW MS,31,44,25
BETHEL PARK,ABRAHAM LINCOLN EL SCH,6,38,31
BALD EAGLE AREA,HOWARD EL SCH,23,58,11
STATE COLLEGE AREA,HOUSERVILLE/LEMONT EL,12,44,25
PENN MANOR,PEQUEA EL SCH,11,37,32
FLEETWOOD AREA,RICHMOND EL SCH,5,26,43
KUTZTOWN AREA,GREENWICH-LENHARTSVILLE,10,30,39
WILSON,BERKSHIRE HEIGHTS EL,6,23,46
