District,School,LowIncPct,ReadHigh,ReadMed
REDBANK VALLEY,REDBANK-HAWTHORN EL SCH,46,19,32
DERRY AREA,GRANDVIEW INTRMD SCH,44,24,27
ALTOONA AREA,JUNIATA EL SCH,50,20,31
CONEMAUGH VALLEY,CONEMAUGH VALLEY EL SCH,56,34,17
DALLASTOWN AREA,DALLASTOWN EL SCH,20,21,30
DOVER AREA,WEIGELSTOWN EL SCH,16,16,35
EASTERN YORK,KREUTZ CREEK EL SCH,14,24,27
RED LION AREA,LOCUST GROVE EL SCH,7,30,21
LANCASTER,ELIZABETH R MARTIN EL,15,17,34
CARLISLE AREA,MT HOLLY SPRINGS EL SCH,22,23,28
CENTRAL DAUPHIN,PAXTANG EL SCH,20,19,32
CENTRAL DAUPHIN,TRI COMMUNITY EL SCH,31,21,30
DANVILLE AREA,LIBERTY-VALLEY EL SCH,21,23,28
MILTON AREA,MILTON AREA EL SCH,32,15,36
JERSEY SHORE AREA,AVIS EL SCH,37,21,30
WYOMING VALLEY WEST,STATE EL CTR,46,21,30
NORTH POCONO,MOSCOW ELEM CENTER,36,24,27
WAYNE HIGHLANDS,WAYNE HIGHLANDS MS,33,21,30
PEN ARGYL AREA,WIND GAP MS,13,23,28
POCONO MOUNTAIN,POCONO EL CTR,16,24,27
STROUDSBURG AREA,STROUDSBURG MS,7,28,23
NESHAMINY,JOSEPH E FERDERBAR EL,12,23,28
OCTORARA AREA,OCTORARA AREA INTRMD,17,26,25
MONACA,FIFTH WARD EL SCH,35,24,27
AMBRIDGE AREA,ANTHONY WAYNE EL SCH,67,26,24
ELLWOOD CITY AREA,NORTH SIDE SCH,36,19,31
MOHAWK AREA,MOHAWK EL SCH,33,25,25
SHENANGO AREA,SHENANGO EL SCH,28,21,29
PLUM BOROUGH,REGENCY PARK EL SCH,16,25,25
NORTH EAST,HEARD MEMORIAL SCH,36,31,19
WARREN COUNTY,PITTSFIELD EL SCH,37,22,28
WARREN COUNTY,YOUNGSVILLE EL SCH,29,11,39
ALLEGHENY-CLARION VALLE,PARKER EL SCH,46,32,18
DUBOIS AREA,SYKESVILLE EL SCH,58,6,44
OIL CITY AREA,OAKLAND SCH,27,21,29
PUNXSUTAWNEY AREA,BANKS TWP EL SCH,53,28,22
MEYERSDALE AREA,MEYERSDALE AREA EL SCH,47,12,38
JOHNSONBURG AREA,JOHNSONBURG AREA EL SCH,29,16,34
PORT ALLEGANY,PORT ALLEGANY EL SCH,42,17,33
CLEARFIELD AREA,GOSHEN EL SCH,65,14,36
KEYSTONE CENTRAL,BEECH CREEK EL SCH,41,18,32
SOUTHERN FULTON,SOUTHERN FULTON EL SCH,42,32,18
SOUTHERN HUNTINGDON CO.,ROCKHILL EL SCH,43,17,33
BERMUDIAN SPRINGS,BERMUDIAN SPRINGS MS,17,23,27
CONEWAGO VALLEY,NEW OXFORD MS,19,20,30
WEST YORK AREA,LINCOLNWAY EL SCH,27,19,31
BIG SPRING,MIFFLIN EL SCH,20,23,27
WEST SHORE,HIGHLAND EL SCH,8,26,24
LINE MOUNTAIN,TREVORTON EL SCH,40,14,36
EAST LYCOMING,CARL G RENN EL SCH,33,29,21
WAYNE HIGHLANDS,DAMASCUS AREA SCH,42,23,27
BETHLEHEM AREA,CLEARVIEW EL SCH,27,37,13
BRISTOL TOWNSHIP,LAFAYETTE EL SCH,47,0,50
PENNSBURY,OXFORD VALLEY EL SCH,18,21,29
MARPLE NEWTOWN,LOOMIS EL SCH,6,29,21
FREEDOM AREA,FREEDOM AREA MS,35,23,27
CONNELLSVILLE AREA,PRITTS EL SCH,70,30,19
SCRANTON CITY,GEORGE BANCROFT #34,0,14,35
WEST ALLEGHENY,WILSON ELEM,26,22,27
LAUREL,LAUREL EL SCH,26,23,26
EAST ALLEGHENY,WESTINGHOUSE EL SCH,55,23,26
NORTH HILLS,HIGHCLIFF EL SCH,26,26,23
PLUM BOROUGH,CENTER EL SCH,12,27,22
FORT LEBOEUF,FORT LEBOEUF MS,31,22,27
MILLCREEK TWP.,RIDGEFIELD EL SCH,26,29,20
CHESTNUT RIDGE,CHESTNUT RIDGE MS,42,25,24
BELLEFONTE AREA,BELLEFONTE EL SCH,56,23,26
EASTERN LANCASTER CO.,BLUE BALL EL SCH,11,22,27
LEBANON,SOUTHWEST EL SCH,30,27,22
BLOOMSBURG AREA,MEMORIAL EL SCH,42,24,25
MIDD-WEST,BEAVER-ADAMS EL SCH,30,23,26
MILTON AREA,MONTANDON EL SCH,42,26,23
MILTON AREA,WHITE DEER EL SCH,36,25,24
EAST LYCOMING,JOSEPH C ASHKAR EL SCH,25,21,28
TROY AREA,W R CROMAN EL SCH,37,20,29
WYALUSING AREA,WYALUSING EL SCH,38,21,28
WESTERN WAYNE,LAKE ARIEL EL SCH,41,24,25
NORTHAMPTON AREA,GEORGE WOLF EL SCH,12,24,25
CATASAUQUA AREA,LINCOLN MS,12,20,29
JIM THORPE AREA,L B MORRIS EL SCH,24,25,24
NORTHERN LEHIGH,PETERS EL SCH,19,27,22
BENSALEM TOWNSHIP,STRUBLE EL SCH,31,20,29
QUAKERTOWN COMMUNITY,QUAKERTOWN EL SCH,28,22,27
ABINGTON,WILLOW HILL SCH,24,26,23
PHILADELPHIA,FRANK ANNE SCH,60,18,31
ROCHESTER AREA,ROCHESTER AREA EL SCH,26,28,21
HOMER CENTER,HOMER-CENTER EL SCH,47,23,26
TAMAQUA AREA,TAMAQUA EL SCH,29,16,33
WILSON,LOWER HEIDELBERG EL SCH,2,22,26
WILSON,WEST WYOMISSING EL SCH,5,24,24
ALBERT GALLATIN,GEORGE J PLAVA EL SCH,57,19,29
FRAZIER,PERRY EL SCH,41,26,22
UNIONTOWN AREA,MARCLAY SCH,52,26,22
PITTSBURGH,HOMEWOOD MONTESSORI EL,46,29,19
WARREN COUNTY,LANDER EL SCH,34,16,32
WARREN COUNTY,TIDIOUTE EL SCH,48,10,38
CLARION AREA,CLARION AREA EL SCH,30,25,23
OIL CITY AREA,HASSON HEIGHTS SCH,34,21,27
HEMPFIELD AREA,STANWOOD EL SCH,24,20,28
LIGONIER VALLEY,LIGONIER VALLEY MS,22,22,26
ALTOONA AREA,PENN-LINCOLN EL SCH,66,18,30
BELLWOOD-ANTIS,BELLWOOD ANTIS MS,31,19,29
KEYSTONE CENTRAL,WOODWARD EL SCH,29,24,24
MOSHANNON VALLEY,MOSHANNON VALLEY EL SCH,44,25,23
PENNS VALLEY AREA,PENNS VALLEY AREA EL,21,27,21
DOVER AREA,LEIB EL SCH,11,18,30
GETTYSBURG AREA,JAMES GETTYS EL SCH,17,27,21
RED LION AREA,CHANCEFORD EL SCH,15,33,15
EPHRATA AREA,FULTON EL SCH,21,22,26
MANHEIM TOWNSHIP,BRECHT SCH,12,24,24
WARWICK,KISSEL HILL EL SCH,8,21,27
CENTRAL DAUPHIN,SOUTH SIDE EL SCH,22,22,26
BERWICK AREA,SALEM EL SCH,33,20,28
ATHENS AREA,BURNHAM EL SCH,45,22,26
TROY AREA,SPRINGFIELD TWP EL SCH,32,37,11
WILLIAMSPORT AREA,SHERIDAN EL SCH,58,22,26
LAKE LEHMAN,LAKE-NOXEN EL SCH,34,19,29
BRISTOL TOWNSHIP,WASHINGTON EL SCH,26,9,39
PENNSBURY,MANOR EL SCH,31,16,32
NORTH PENN,HATFIELD EL SCH,17,21,27
CHICHESTER,CHICHESTER MS,28,20,28
INTERBORO,TINICUM SCH,22,19,29
PENN DELCO,COEBOURN EL SCH,19,24,24
COMMODORE PERRY,COMMODORE PERRY SCH,27,18,29
SHARPSVILLE AREA,SOUTH PYMATUNING SCH,18,22,25
BURGETTSTOWN AREA,ATLASBURG SCH,35,21,26
TRINITY AREA,TRINITY NORTH EL SCH,40,23,24
PITTSBURGH,BEECHWOOD EL SCH,48,17,30
KEYSTONE OAKS,KELTON EL SCH,26,15,32
PENN HILLS,WILLIAM PENN EL SCH,44,27,20
CONNEAUT,ALICE SCHAFER EL SCH,38,13,34
MILLCREEK TWP.,VERNONDALE EL SCH,23,18,29
PUNXSUTAWNEY AREA,BELL TWP EL SCH,31,21,26
REDBANK VALLEY,NEW BETHLHM-S BETH EL,45,16,31
BELLE VERNON AREA,ROSTRAVER EL SCH,25,22,25
LIGONIER VALLEY,LAUREL VALLEY EL SCH,50,23,24
SPRING COVE,MARTINSBURG EL SCH,38,30,17
BELLEFONTE AREA,BENNER EL SCH,29,18,29
PHILIPSBURG-OSCEOLA,WALLACETON-BOGGS EL SCH,41,21,26
JUNIATA VALLEY,JUNIATA VALLEY EL SCH,38,18,29
CHAMBERSBURG AREA,BUCHANAN EL SCH,34,28,19
CHAMBERSBURG AREA,PORTICO EL SCH,23,21,26
GETTYSBURG AREA,EISENHOWER EL SCH,36,26,21
RED LION AREA,EDGAR MOORE EL SCH,22,33,14
DONEGAL,GRANDVIEW EL SCH,17,28,19
READING,SIXTEENTH & HAAK EL SCH,40,20,27
SUSQUENITA,SUSQUENITA MS,9,23,24
SHIKELLAMY,MACLAY SCH,54,26,21
WELLSBORO AREA,ROCK L BUTLER MS,33,20,27
WYOMING AREA,MONTGOMERY AVE EL SCH,27,18,29
EAST STROUDSBURG AREA,NORTH COURTLAND EL SCH,28,24,23
UPPER PERKIOMEN,UPPER PERKIOMEN MS,13,22,25
COATESVILLE AREA,CALN EL SCH,26,23,24
PHILADELPHIA,FOX CHASE SCH,61,27,20
MONACA,MANGIN EL SCH,39,14,33
BLAIRSVILLE-SALTSBURG,SALTSBURG EL SCH,37,24,23
SOLANCO,BART-COLERAIN EL SCH,9,17,29
WEST MIFFLIN AREA,NEW EMERSON EL SCH,44,27,19
BETHLEHEM CENTER,BETHLEHEM-CENTER EL SCH,53,24,22
CARMICHAELS AREA,CARMICHAELS AREA EL CTR,52,12,34
BRENTWOOD BOROUGH,MOORE SCH,15,25,21
HIGHLANDS,GRANDVIEW EL SCH,69,20,26
QUAKER VALLEY,OSBORNE EL SCH,21,24,22
SLIPPERY ROCK AREA,HAR-MER EL SCH,40,23,23
CORRY AREA,CONELWAY EL SCH,42,24,22
MONESSEN CITY,MONESSEN EL CTR,46,14,32
PENN CAMBRIA,PENN-CAMBRIA MS,45,19,27
HARMONY,HARMONY AREA EL SCH,66,23,23
SOUTHERN HUNTINGDON CO.,SHADE GAP EL SCH,46,20,26
DOVER AREA,DOVER AREA EL SCH,19,21,25
EASTERN YORK,WRIGHTSVILLE EL SCH,21,28,18
RED LION AREA,N HOPEWELL-WNTRSTWN EL,14,13,33
SHIPPENSBURG AREA,JAMES BURD EL SCH,25,18,28
ATHENS AREA,SHESHEQUIN-ULSTER EL,40,25,21
MONTGOMERY AREA,MONTGOMERY EL SCH,34,20,26
NORTHERN TIOGA,RUSSELL B WALTER EL SCH,46,23,23
HAZLETON AREA,FREELAND EL SCH,32,27,19
WILKES-BARRE AREA,DR DAVID W KISTLER EL S,37,24,22
FOREST CITY REGIONAL,FOREST CITY REGIONAL EL,51,17,29
SCRANTON CITY,ROBERT MORRIS #27,31,13,33
WILSON AREA,PHILIP F LAUER MS,21,17,29
LEHIGHTON AREA,LEHIGHTON AREA MS,25,22,24
BRISTOL TOWNSHIP,DEVINE EL SCH,30,22,24
INTERBORO,GLENOLDEN SCH,18,21,25
PHILADELPHIA,LAWTON HENRY W SCH,60,17,29
APOLLO-RIDGE,APOLLO EL SCH,47,21,25
ARMSTRONG,WEST HILLS EL SCH,43,19,27
FREEPORT AREA,FREEPORT EL SCH,34,17,29
PURCHASE LINE,PURCHASE LINE SOUTH EL,64,19,27
CHAMBERSBURG AREA,MARION EL SCH,11,30,15
CONRAD WEISER AREA,CONRAD WEISER WEST EL,9,18,27
GREENVILLE,EAST EL SCH,25,24,21
LAUREL HIGHLANDS,HUTCHINSON EL SCH,60,19,26
UNIONTOWN AREA,BEN FRANKLIN EL/MS,41,21,24
PITTSBURGH,WESTWOOD EL SCH,64,18,27
CONNEAUT,CONNEAUT LK-SADSBURY EL,37,14,31
TITUSVILLE AREA,HYDETOWN EL SCH,40,17,28
UNION,RIMERSBURG EL SCH,62,16,29
YOUGH,BARREN RUN EL SCH,43,25,20
ALTOONA AREA,MOWRIE A EBNER EL SCH,40,9,36
BRADFORD AREA,GEORGE BLAISDELL EL SCH,40,19,26
CHAMBERSBURG AREA,FAYETTEVILLE EL SCH,28,17,28
GREENCASTLE-ANTRIM,GREENCASTLE-ANTRIM EL,24,22,23
RED LION AREA,WINDSOR MANOR EL SCH,29,14,31
MONTOURSVILLE AREA,C E MCCALL MS,18,17,28
TROY AREA,WELLS TWP EL SCH,35,28,17
GREATER NANTICOKE AREA,K M SMITH EL SCH,43,12,33
MONTROSE AREA,LATHROP STREET EL SCH,30,22,23
WESTERN WAYNE,WILSON EL SCH,47,16,29
BETHLEHEM AREA,WILLIAM PENN EL SCH,37,27,18
DOWNINGTOWN AREA,EAST WARD EL SCH,12,26,19
MARION CENTER,MARION CENTER AREA INT,50,22,23
CHAMBERSBURG AREA,NEW FRANKLIN EL SCH,13,22,22
HERMITAGE,DELAHUNTY MS,36,20,24
SHARPSVILLE AREA,SEVENTH ST EL SCH,16,23,21
UNIONTOWN AREA,MENALLEN SCH,49,19,25
ELIZABETH FORWARD,CENTRAL EL SCH,14,25,19
PENN HILLS,FORBES EL SCH,51,18,26
ERIE CITY,LINCOLN EL SCH,60,15,29
UNION CITY AREA,UNION CITY EL SCH,50,20,24
NORTHERN CAMBRIA,NORTHERN CAMBRIA EL SCH,73,19,25
WILLIAMSBURG COMMUNITY,WILLIAMSBURG COMM EL,45,22,22
KANE AREA,CHESTNUT STREET EL SCH,33,19,25
NORTHERN POTTER,NORTHRN POTTER CHILDRNS,50,16,28
HANOVER PUBLIC,HANOVER MS,22,21,23
ELIZABETHTOWN AREA,BAINBRIDGE EL SCH,19,23,21
SOLANCO,PROVIDENCE EL SCH,15,14,30
BLOOMSBURG AREA,BEAVER-MAIN EL SCH,30,16,28
DANVILLE AREA,DANVILLE EL SCH,42,20,24
SHIKELLAMY,OAKLYN SCH,24,18,26
HAZLETON AREA,MCADOO-KELAYRES EL SCH,25,13,31
PITTSTON AREA,LINCOLN EL SCH,51,18,26
WILKES-BARRE AREA,HEIGHTS EL SCH,36,17,27
LAKELAND,MAYFIELD EL SCH,43,18,26
SCRANTON CITY,LINCOLN-JACKSON #14,56,3,41
PLEASANT VALLEY,JOHN C MILLS EL SCH,23,18,26
PENNSBURY,WALT DISNEY EL SCH,19,19,25
POTTSTOWN,FRANKLIN EL SCH,33,13,31
PHOENIXVILLE AREA,BARKLEY EL SCH,36,15,29
SOUTHEAST DELCO,SHARON HILL EL SCH,43,14,30
PHILADELPHIA,HANCOCK JOHN SCH,60,18,26
MINERSVILLE AREA,MINERSVILLE AREA EL CTR,47,13,31
NORTH SCHUYLKILL,FRACKVILLE AREA EL SCH,50,23,21
PINE GROVE AREA,PINE GROVE AREA MS,22,20,24
TRI-VALLEY,HEGINS-HUBLEY EL SCH,22,22,22
KARNS CITY AREA,SUGARCREEK EL SCH,52,17,26
PITTSBURGH,ROOSEVELT EL SCH,47,13,30
PENN HILLS,DIBLE EL SCH,36,17,26
PENN HILLS,SHENANDOAH EL SCH,32,17,26
PENN HILLS,WASHINGTON EL SCH,36,15,28
ERIE CITY,HARDING EL SCH,61,25,18
GIRARD,RICE AVENUE MS,35,14,29
BROOKVILLE AREA,HICKORY GROVE EL SCH,42,17,26
CRANBERRY AREA,STEFFEE EL SCH,53,11,32
DUBOIS AREA,C G JOHNSON EL SCH,44,19,24
NEW KENSINGTN-ARNLD,GREENWALD MEMORIAL SCH,40,26,17
NEW KENSINGTN-ARNLD,MARTIN SCH,34,14,29
TUSSEY MOUNTAIN,ROBERTSDALE GR SCH,46,12,31
BRADFORD AREA,SCHOOL STREET EL SCH,46,16,27
WAYNESBORO AREA,FAIRVIEW AVENUE EL SCH,47,20,23
YORK CITY,DAVIS SCH,60,9,34
SOUTH WILLIAMSPORT,CENTRAL EL SCH,30,25,18
RIVERSIDE,RIVERSIDE EL SCH WEST,38,14,29
ALLENTOWN,UNION TERRACE EL SCH,36,19,24
NORTHERN LEHIGH,SLATINGTON EL SCH,37,16,27
QUAKERTOWN COMMUNITY,NEIDIG EL SCH,22,14,29
POTTSTOWN,BARTH EL SCH,63,11,32
COATESVILLE AREA,REECEVILLE EL SCH,22,21,22
RIDLEY,WOODLYN EL SCH,48,11,32
UPPER DARBY,BYWOOD EL SCH,23,18,25
PUNXSUTAWNEY AREA,JENKS HILL EL SCH,81,21,21
HAZLETON AREA,DRUMS EL SCH,13,24,18
UPPER DARBY,PRIMOS EL SCH,9,16,26
TAMAQUA AREA,WEST PENN TWP EL SCH,12,24,18
JAMESTOWN AREA,JAMESTOWN AREA EL SCH,39,23,19
CALIFORNIA AREA,CALIFORNIA AREA EL SCH,44,16,26
MCKEESPORT AREA,MCCLURE MS,39,20,22
CRANBERRY AREA,PINOAK EL SCH,62,13,29
AUSTIN AREA,AUSTIN AREA EL SCH,41,16,26
BALD EAGLE AREA,CLARENCE EL SCH,41,28,14
JUNIATA COUNTY,MONROE TWP EL SCH,30,15,27
MIFFLIN COUNTY,BUCHANAN EL SCH,66,17,25
CHAMBERSBURG AREA,SOUTH HAMILTON EL SCH,19,21,21
EASTERN LEBANON COUNTY,JACKSON EL SCH,18,29,13
CARLISLE AREA,LETORT EL SCH,45,19,23
WARRIOR RUN,WARRIOR RUN MS,18,12,30
WILKES-BARRE AREA,DANIEL J FLOOD EL SCH,32,14,28
BETHLEHEM AREA,LINCOLN EL SCH,44,21,21
BENSALEM TOWNSHIP,RUSH EL SCH,29,21,21
NORRISTOWN AREA,MARSHALL STREET EL SCH,49,16,26
WILLIAM PENN,W B EVANS EL SCH,26,9,33
PHILADELPHIA,COMLY WATSON SCH,43,20,22
ERIE CITY,BURTON EL SCH,84,11,30
POTTSGROVE,WEST POTTSGROVE EL SCH,16,19,22
REYNOLDS,REYNOLDS EL SCH,43,20,21
SHARON CITY,CASE AVENUE EL SCH,39,17,24
BROWNSVILLE AREA,COLONIAL EL SCH,63,17,24
WASHINGTON,WASHINGTON PARK EL/MS,58,21,20
PITTSBURGH,CONCORD EL SCH,41,15,26
ELIZABETH FORWARD,WILLIAM PENN EL SCH,25,18,23
HIGHLANDS,NATRONA HEIGHTS EL SCH,30,24,17
NORTHWESTERN,NORTHWESTERN EL SCH,38,16,25
EVERETT AREA,BREEZEWOOD EL SCH,44,14,27
PORTAGE AREA,PORTAGE AREA MS,50,13,28
UPPER DAUPHIN AREA,UPPER DAUPHIN AREA MS,18,19,22
MIDD-WEST,PENNS CREEK EL SCH,43,18,23
TOWANDA AREA,TOWANDA AREA MS,32,13,28
WILLIAMSPORT AREA,COCHRAN EL SCH,53,22,19
EASTON AREA,PALMER EL SCH,19,21,20
POCONO MOUNTAIN,COOLBAUGH EL CTR,37,16,25
PENNSBURY,PENN VALLEY EL SCH,20,7,34
COATESVILLE AREA,CARL O BENNER EL SCH,44,14,27
COATESVILLE AREA,EAST FALLOWFIELD EL SCH,37,23,18
COATESVILLE AREA,KINGS HIGHWAY EL SCH,29,22,19
RIDLEY,EDDYSTONE EL SCH,50,17,24
UPPER DARBY,STONEHURST HILLS EL SCH,18,15,26
PHILADELPHIA,OVERBROOK EDU CTR,61,17,24
POTTSVILLE AREA,LENGEL MS,50,19,22
SHENANDOAH VALLEY,SHENANDOAH VAL EL SCH,65,13,28
INTERBORO,NORWOOD SCH,19,14,26
LAUREL HIGHLANDS,MARSHALL EL SCH,50,21,19
SOUTHEASTERN GREENE,PENN-PITT EL SCH,52,13,27
UNION AREA,UNION AREA MS,46,11,29
CONNEAUT,CONNEAUT VALLEY EL SCH,55,20,20
DUBOIS AREA,WASSON AVENUE EL SCH,45,20,20
TITUSVILLE AREA,CHERRYTREE EL SCH,39,30,10
EVERETT AREA,MANN-MONROE EL SCH,50,7,33
GLENDALE,GLENDALE EL SCH,54,18,22
CENTRAL FULTON,MCCONNELLSBURG EL SCH,44,17,23
MOUNT UNION AREA,MAPLETON-UNION EL SCH,50,13,27
DONEGAL,RIVERVIEW EL SCH,27,20,20
READING,THIRTEENTH & UNION EL,26,16,24
SHIKELLAMY,FORT AUGUSTA SCH,57,30,10
ATHENS AREA,CHILD EL SCH,42,20,20
QUAKERTOWN COMMUNITY,RICHLAND EL SCH,21,19,21
POTTSTOWN,EDGEWOOD EL SCH,49,16,24
CARLYNTON,CARNEGIE EL SCH,14,13,26
WOODLAND HILLS,FAIRLESS INTRMD SCH,62,15,24
PITTSBURGH,LINDEN EL SCH,45,21,18
ERIE CITY,EDISON EL SCH,74,13,26
ALTOONA AREA,WRIGHT EL SCH,54,9,30
FORBES ROAD,FORBES ROAD EL SCH,40,14,25
NEWPORT,NEWPORT EL SCH,33,16,23
GREATER NANTICOKE AREA,LINCOLN EL SCH,47,16,23
NORTHWEST AREA,GARRISON MEMORIAL EL,55,17,22
NORTHWEST AREA,HUNTINGTON TOWNSHIP EL,42,18,21
CARBONDALE AREA,FELL EL SCH,46,15,24
SCRANTON CITY,FRANCES WILLARD #32,56,14,25
PHILADELPHIA,CROSSAN KENNEDY C SCH,60,13,26
ARMSTRONG,KITTANNING TWP EL SCH,40,15,24
ARMSTRONG,LENAPE EL SCH,47,14,25
PENNS VALLEY AREA,MILES TOWNSHIP EL SCH,21,13,25
RED LION AREA,MAZIE GABLE EL SCH,19,14,24
WOODLAND HILLS,DICKSON INTRMD SCH,43,19,19
WOODLAND HILLS,RANKIN INTRMD SCH,62,24,14
CONNELLSVILLE AREA,BULLSKIN EL SCH,59,13,25
JEFFERSON-MORGAN,JEFFERSON-MORGAN EL SCH,45,15,23
PITTSBURGH,COLFAX EL SCH,55,23,15
CRAWFORD CENTRAL,SECOND DISTRICT EL SCH,71,25,13
NORTHWESTERN,SPRINGFIELD EL SCH,36,17,21
PENNCREST,CAMBRIDGE SPRINGS EL,29,11,27
PENNCREST,MAPLEWOOD EL SCH,41,16,22
EVERETT AREA,CHANEYSVILLE-COVE EL,50,23,15
NORTH STAR,NORTH STAR CEN EL SCH,62,20,18
HUNTINGDON AREA,BRADY-HENDERSON EL SCH,53,17,21
WAYNESBORO AREA,MOWREY EL SCH,34,17,21
EAST LYCOMING,GEORGE A FERRELL EL SCH,24,19,19
WYOMING VALLEY WEST,DANA EL CTR,30,17,21
WYOMING VALLEY WEST,PRINGLE STREET EL SCH,53,19,19
CARBONDALE AREA,ROOSEVELT SCH,52,23,15
BRISTOL TOWNSHIP,BARTON EL SCH,32,10,28
COATESVILLE AREA,FRIENDSHIP EL SCH,27,15,23
WILLIAM PENN,PARK LANE EL SCH,58,17,21
PHILADELPHIA,EDMUNDS HENRY R SCH,64,11,27
RIVERSIDE BEAVER,RIVERSIDE MS,34,13,25
UNITED,UNITED EL SCH,56,22,16
OLD FORGE,OLD FORGE EL SCH,24,16,21
RIDLEY,LEEDOM EL SCH,22,15,22
BUTLER AREA,CLEARFIELD EL SCH,46,20,17
ALBERT GALLATIN,MASONTOWN CENTRAL EL,70,15,22
LAUREL HIGHLANDS,KENNEDY EL SCH,69,14,23
RINGGOLD,DONORA EL CTR,69,14,23
HIGHLANDS,FAIRMOUNT EL SCH,46,24,13
WARREN COUNTY,SHEFFIELD EL SCH,41,6,31
BALD EAGLE AREA,WINGATE EL SCH,38,18,19
WEST BRANCH,WEST BRANCH AREA EL SCH,43,22,15
LANCASTER,THOMAS WHARTON EL SCH,41,26,11
READING,TWELFTH & MARION EL SCH,32,21,16
EASTON AREA,PAXINOSA EL SCH,37,15,22
ALLENTOWN,MOSSER EL SCH,73,21,16
NORRISTOWN AREA,HANCOCK EL SCH,45,16,21
PHILADELPHIA,CONWELL RUSSELL MS,71,13,24
PHILADELPHIA,SPRUANCE GILBERT SCH,61,13,24
WYOMING VALLEY WEST,THIRD AVENUE EL SCH,25,9,27
ALLENTOWN,LEHIGH PARK EL SCH,24,11,25
PITTSBURGH,MIFFLIN EL SCH,51,13,23
PITTSBURGH,MURRAY EL SCH,79,13,23
JEANNETTE CITY,JEANNETTE MCKEE EL/MS,51,12,24
BEDFORD AREA,HYNDMAN/LONDONDERRY EL,50,13,23
CONEMAUGH VALLEY,EAST TAYLOR EL SCH,59,23,13
CLEARFIELD AREA,BRADFORD TWP EL SCH,59,18,18
KEYSTONE CENTRAL,MILL HALL EL SCH,42,12,24
FANNETT-METAL,FANNETT-METAL EL SCH,34,18,18
SUSQUEHANNA COMM.,SUSQUEHANNA COMM EL SCH,68,18,18
ALLENTOWN,HIRAM W DODD EL SCH,42,18,18
ALLENTOWN,RITTER EL SCH,39,14,22
NORRISTOWN AREA,BURNSIDE EL SCH,28,12,24
NORRISTOWN AREA,COLE MANOR EL SCH,44,15,21
COATESVILLE AREA,RAINBOW EL SCH,34,23,13
PHILADELPHIA,SHAWMONT SCH,47,9,27
BIG BEAVER FALLS AREA,BEAVER FALLS MS,60,16,20
ST CLAIR AREA,SAINT CLAIR AREA EL/MS,46,13,23
EASTERN YORK,CANADOCHLY EL SCH,21,9,26
MUNCY,WARD L MYERS EL SCH,24,13,22
PALMERTON AREA,PALMER EL SCH,26,18,17
BUTLER AREA,BROAD ST SCH,68,10,25
DEER LAKES,J F KENNEDY MEMORIAL EL,39,13,22
ERIE CITY,PFEIFFER-BURLEIGH EL,78,15,20
CRANBERRY AREA,ROCKLAND EL SCH,39,6,29
GALETON AREA,GALETON AREA SCH,46,16,19
KEYSTONE CENTRAL,LAMAR TWP EL SCH,30,4,31
HUNTINGDON AREA,WILLIAM SMITH EL SCH,67,7,28
CANTON AREA,CANTON AREA EL SCH,48,12,23
SOUTHERN TIOGA,BLOSSBURG EL SCH,50,11,24
WILLIAMSPORT AREA,JACKSON EL SCH,69,10,25
HANOVER AREA,HANOVER AREA MEM EL SCH,40,11,24
WILKES-BARRE AREA,COTTON AVENUE EL SCH,32,6,29
ELK LAKE,ELK LAKE EL SCH,32,16,19
SCRANTON CITY,CHARLES SUMNER #18,55,10,25
ALLENTOWN,MCKINLEY EL SCH,65,12,23
PHILADELPHIA,HENRY CHARLES W SCH,59,15,20
PHILADELPHIA,MCCALL GEN GEORGE A SCH,62,10,25
MIDLAND BOROUGH,NEEL SCH,75,5,30
WILLIAMS VALLEY,WILLIAMS VALLEY EL SCH,39,19,16
WAYNESBORO AREA,HOOVERVILLE EL SCH,22,26,8
BERWICK AREA,FOURTEENTH ST EL SCH,27,5,29
KARNS CITY AREA,BRUIN EL SCH,47,17,17
BENTWORTH,BENTLEYVILLE EL SCH,33,14,20
PITTSBURGH,MORROW EL SCH,67,11,23
PITTSBURGH,SHERADEN EL SCH,71,19,15
PITTSBURGH,SUNNYSIDE EL SCH,52,5,29
GREATER JOHNSTOWN,WEST SIDE EL SCH,82,8,26
NORTH STAR,NORTH STAR WEST EL SCH,48,15,19
YORK CITY,DEVERS SCH,60,16,18
LEBANON,HARDING EL SCH,47,16,18
READING,RIVERSIDE EL SCH,44,17,17
BENSALEM TOWNSHIP,FAUST EL SCH,86,19,15
BRISTOL TOWNSHIP,MAPLE SHADE EL SCH,27,18,15
BUTLER AREA,CENTER AVENUE SCH,63,18,15
SOUTHEASTERN GREENE,BOBTOWN EL SCH,63,7,26
PITTSBURGH,CARMALT EL SCH,65,15,18
PITTSBURGH,CHARTIERS EL SCH,65,12,21
PITTSBURGH,OVERBROOK EL SCH,69,8,25
KEYSTONE CENTRAL,DICKEY EL SCH,72,3,30
CHAMBERSBURG AREA,KING STREET EL SCH,76,13,20
LANCASTER,LAFAYETTE EL SCH,42,7,26
BERWICK AREA,ORANGE STREET EL SCH,50,10,23
NORTHERN TIOGA,CLARK WOOD EL SCH,49,12,21
SCRANTON CITY,JOHN F. KENNEDY #7,83,3,30
